company_name,profile_url,overall_rating,total_reviews,industry,description,scraped_at,rating_job_security,rating_work_life_balance,rating_salary,rating_work_satisfaction,rating_promotions,rating_skill_development,rating_company_culture,rating_management
TCS,https://www.ambitionbox.com/overview/tcs-overview,3.3,110000,IT Services & Consulting | Financial Services | Internet | Education & Training | BPO,"Get an inside look of TCS — culture, pay, reviews, interview questions, job openings, corporate offices, peer comparison and more on AmbitionBox",2026-05-13 10:25:04,3.5,3.2,3.8,2.5,2.,3.0,3.2,N/A
Accenture,https://www.ambitionbox.com/overview/accenture-overview,3.7,73500,IT Services & Consulting | Analytics & KPO | Software Product(Internet) | Management Consulting | IT Services & Consulting sector,"Get an inside look of Accenture — culture, pay, reviews, interview questions, job openings, corporate offices, peer comparison and more on AmbitionBox",2026-05-13 10:25:06,3.6,3.6,3.6,3.3,N/A,3.4,3.6,N/A
Wipro,https://www.ambitionbox.com/overview/wipro-overview,3.6,65099,IT Services & Consulting | Advertising / PR / Events | Consulting | Healthcare / Pharma | Recruitment,"Get an inside look of Wipro — culture, pay, reviews, interview questions, job openings, corporate offices, peer comparison and more on AmbitionBox",2026-05-13 10:25:11,3.6,3.5,3.7,3.0,N/A,3.4,3.6,N/A
Cognizant,https://www.ambitionbox.com/overview/cognizant-overview,3.7,61500,IT Services & Consulting | Consulting | IT Services & Consulting sector,"Get an inside look of Cognizant — culture, pay, reviews, interview questions, job openings, corporate offices, peer comparison and more on AmbitionBox",2026-05-13 10:25:17,3.6,3.6,3.6,3.2,N/A,3.5,3.4,N/A
Capgemini,https://www.ambitionbox.com/overview/capgemini-overview,3.6,53400,IT Services & Consulting | Analytics & KPO | Banking(Financial Services) | Software Product(Internet) | IT Services & Consulting sector,"Get an inside look of Capgemini — culture, pay, reviews, interview questions, job openings, corporate offices, peer comparison and more on AmbitionBox",2026-05-13 10:25:22,3.8,3.6,3.8,3.0,4.0,3.4,3.6,N/A
HDFC Bank,https://www.ambitionbox.com/overview/hdfc-bank-overview,3.8,52400,Banking(Financial Services) | Financial Services | Media & Entertainment / Publishing | Insurance | NBFC,"Get an inside look of HDFC Bank — culture, pay, reviews, interview questions, job openings, corporate offices, peer comparison and more on AmbitionBox",2026-05-13 10:25:28,3.5,3.6,3.9,3.4,2.0,3.6,3.5,N/A
Infosys,https://www.ambitionbox.com/overview/infosys-overview,48.8,48800,IT Services & Consulting sector,"Get an inside look of Infosys — culture, pay, reviews, interview questions, job openings, corporate offices, peer comparison and more on AmbitionBox",2026-05-13 10:25:33,5.0,N/A,4.0,N/A,5.0,N/A,5.0,N/A
HCLTech,https://www.ambitionbox.com/overview/hcl-technologies-overview,46,46000,IT Services & Consulting sector,"Get an inside look of HCLTech — culture, pay, reviews, interview questions, job openings, corporate offices, peer comparison and more on AmbitionBox",2026-05-13 10:25:36,3.0,N/A,5.0,N/A,5.0,N/A,5.0,N/A
ICICI Bank,https://www.ambitionbox.com/overview/icici-bank-overview,4.0,45900,Banking(Financial Services) | Financial Services | TopBankingCompanies in India | Banking sector,"Get an inside look of ICICI Bank — culture, pay, reviews, interview questions, job openings, corporate offices, peer comparison and more on AmbitionBox",2026-05-13 10:25:42,3.7,3.6,4.0,N/A,3.7,3.8,3.7,N/A
Tech Mahindra,https://www.ambitionbox.com/overview/tech-mahindra-overview,3.4,43300,IT Services & Consulting | BPO/KPO | Consulting | Analytics & KPO | Engineering & Construction,"Get an inside look of Tech Mahindra — culture, pay, reviews, interview questions, job openings, corporate offices, peer comparison and more on AmbitionBox",2026-05-13 10:25:47,3.4,3.3,3.3,2.9,N/A,3.2,3.1,N/A
Genpact,https://www.ambitionbox.com/overview/genpact-overview,3.6,42300,Analytics & KPO | Financial Services | EdTech(Internet  |  Education & Training) | Analytics & KPO sector,"Get an inside look of Genpact — culture, pay, reviews, interview questions, job openings, corporate offices, peer comparison and more on AmbitionBox",2026-05-13 10:25:53,3.6,3.5,3.9,3.0,4.0,3.4,3.5,N/A
